Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20100166168,02.07.2010,Call management system for a mobile telephone,[0711113.1 2007-06-08T23:59:59.000Z GB],H04M 3/42;H04M 3/54,Poepperl Claudia;adaffix GmbH,Poepperl Claudia,
US20110136516,10.06.2011,Text message paging and ordering system,,H04W 68/00,"Ellis Michael;iSpeedbuy, LLC",Ellis Michael,
US20110173217,15.07.2011,LOCALITY-SENSITIVE SEARCH SUGGESTIONS,,G06F 17/30,YAHOO! INC.,Kasperski Richard,
US20110294478,02.12.2011,Telephone Caller Classification,,H04M 3/42,Trivi Jean-Michel;Nelissen Marco,Trivi Jean-Michel;Nelissen Marco,
US20110319813,30.12.2011,"INFUSION PUMP APPARATUS, METHOD AND SYSTEM",,A61M 5/168;A61M 5/142,DEKA Products Limited Partnership,"Kamen Dean;Karwin John M.;Blumberg, JR. David;Durand Kevin A.;Laniar Gregory R.;Peret Bob D.;Guay Gerald M.;Murphy Colin H.",
US20120015639,20.01.2012,Telephone call classification utilizing a social network graph,,H04M 3/42,Google Inc.,Trivi Jean-Michel,
US20120297408,23.11.2012,Method and apparatus for collecting viewer survey data and for providing compensation for same,,H04H 60/33;H04N 7/10;H04N 7/16;H04N 7/025,"Wong Robert Masao;Hulu, LLC;Tom Richard W.;Chuan-Huai Wei Eugene;Kilar Jason A.",Wong Robert Masao;Tom Richard W.;Chuan-Huai Wei Eugene;Kilar Jason A.,
US20120193351,03.08.2012,Elevated Microwave Heating Construct,,H05B 6/80,RUSSELL Mitchell W.;Liu Bing;Lai Laurence M.C.,RUSSELL Mitchell W.;Liu Bing;Lai Laurence M.C.,
US08577000,06.11.2013,Method and apparatus for content presentation in association with a telephone call,,H04M 15/00,Brown Wendell D.;Brown Wendell,Brown Wendell D.,
US20130178197,12.07.2013,Call management system for a mobile telephone,[0711113.1 2007-06-08T23:59:59.000Z GB],H04M 3/42;H04M 3/54,Adaffix GmbH;Adaffix GmbH,Dreier-Poepperl Claudia,
US20120254202,05.10.2012,Method and apparatus for cleaning data sets for a search process,,G06F 17/30,Heinonen Jarkko;Nokia Corporation;Agrawal Ashish Kumar;Turner Ross,Heinonen Jarkko;Agrawal Ashish Kumar;Turner Ross,
US08660247,26.02.2014,Method and apparatus for content presentation in association with a telephone call,,H04M 1/56,Brown Wendell D.;Brown Wendell,Brown Wendell D.,
US08660246,26.02.2014,Method and apparatus for content presentation in association with a telephone call,,H04M 15/00,Brown Wendell D.;Brown Wendell,Brown Wendell D.,
US20140129354,09.05.2014,"VIRTUAL PLANOGRAM MANAGEMENT, SYSTEMS, AND METHODS",,G06Q 30/06;G06Q 20/40;G06Q 20/20,"NANT HOLDINGS IP, LLC",Soon-Shiong Patrick,
US20140129393,09.05.2014,"VIRTUAL PLANOGRAM MANAGEMENT, SYSTEMS, AND METHODS",,G06Q 30/00,"Soon-Shiong Patrick;NANT HOLDINGS IP, LLC",Soon-Shiong Patrick,
US08687777,02.04.2014,Systems and methods for visual presentation and selection of IVR menu,,H04M 11/00,Lavian Tal;Or-Bach Zvi,Lavian Tal;Or-Bach Zvi,
US08681951,26.03.2014,Systems and methods for visual presentation and selection of IVR menu,,H04M 11/00,Lavian Tal;Or-Bach Zvi,Lavian Tal;Or-Bach Zvi,
US08804930,13.08.2014,Method and apparatus for content presentation in association with a telephone call,,H04M 15/00,Brown Wendell D.;Brown Wendell,Brown Wendell D.,
WO2007090675,17.08.2007,NOVEL OXIDOREDUCTASES AND USES THEREOF,[PCT/EP2006/050700 06.02.2006 EP],C12N 9/02;C12N 15/53;C12N 15/63;C12P 21/02;C07K 16/40;A21D 8/04;A23C 9/12,"DSM IP ASSETS B.V.;MUTSAERS, Johanna Henrica Gerdina Maria;MEIMA, Roelf Bernhard;VAN DIJK, Albertus Alard;DEKKER, Petrus Jacobus Theodorus","MUTSAERS, Johanna Henrica Gerdina Maria;MEIMA, Roelf Bernhard;VAN DIJK, Albertus Alard;DEKKER, Petrus Jacobus Theodorus",
WO2012109064,17.08.2012,"METHODS, APPARATUSES AND COMPUTER PROGRAM PRODUCTS FOR FACILITATING TOLL FREE DATA ACCESS","[61/479,618 27.04.2011 US, 61/441,487 10.02.2011 US, 13/360,312 27.01.2012 US]",H04L 12/14;H04W 4/24,"SYNIVERSE TECHNOLOGIES, LLC.;HODGES, Richard, Lance","HODGES, Richard, Lance",
WO1998040826,18.09.1998,KIOSK AND SERVER CONNECTED TO COMPUTER NETWORK,"[60/040,414 13.03.1997 US, 08/974,214 19.11.1997 US, 08/974,216 19.11.1997 US]",G07F 7/00;G07F 19/00;H04L 12/28;H04L 29/06,INTERNATIONAL BUSINESS MACHINES CORPORATION;IBM UNITED KINGDOM LIMITED,"CHEN, Shuang;FUJISAKI, Tetsunosuke;KOBAYASHI, Makoto;OHSHIMA, Mitsuru;YOSHID, Yoichi",
WO2011041007,08.04.2011,ANALYTE TESTING METHOD AND DEVICE FOR DIABETES MANAGEMENT,"[US 20090929 61/246,630]",A61B 5/00;G06F 19/00,"LIFESCAN SCOTLAND LIMITED;SHADFORTH, Ian;PRICE, David;ANDERSON, Gretchen;COMSTOCK, Lorraine;MCEVOY, Mary;DOUGLAS, Graham;STRACHAN, Alexander;LONGMUIR, Alistair;CAVAYE, Robert;TEFT, Gillian","SHADFORTH, Ian;PRICE, David;ANDERSON, Gretchen;COMSTOCK, Lorraine;MCEVOY, Mary;DOUGLAS, Graham;STRACHAN, Alexander;LONGMUIR, Alistair;CAVAYE, Robert;TEFT, Gillian",
WO2001044888,22.06.2001,CENTRALIZED TELEPHONE ORDER AND DISTRIBUTION SYSTEM,"[09/465,729 17.12.1999 US, 09/564,386 03.05.2000 US, 09/567,716 10.05.2000 US, 09/645,086 24.08.2000 US]",G06Q 20/00,"WORLD THEATRE, INC.","HUNTER, Charles, Eric;SPARKS, Kelly, C.;HEBRANK, John, H.;SUMMER, Robert, D.;SYKES, Ollin, B.;BALLOU, Bernard, L., Jr.",
WO2001097072,21.12.2001,SYSTEM AND METHOD FOR LINKING INFORMATION IN A GLOBAL COMPUTER NETWORK,"[09/596,024 15.06.2000 US]",G06Q 10/00;G06Q 30/00;G10L 15/28,"MUREX SECURITIES, LTD.;SHAFFER, James, D.;MOORE, George, G.","SHAFFER, James, D.;MOORE, George, G.",
WO2010138479,03.12.2010,ORIGINATING LOCATOR SERVICE,"[12/472,846 27.05.2009 US]",H04W 40/00,VERIZON PATENT AND LICENSING INC.,"BROOKS, Euclid, S.;EVANS, Jeffrey, R.;SIDHOM, Nashwa, F.;TAM, Henry, L.",
WO2008089359,25.07.2008,LOCATION IN SEARCH QUERIES,"[11/624,184 17.01.2007 US]",H04B 7/26;G06F 17/30,"GOOGLE INC.;RECHIS, Leland;JENSON, Scott;SHACHAM, Yael","RECHIS, Leland;JENSON, Scott;SHACHAM, Yael",
WO2007133659,23.11.2007,MICROWAVE ENERGY INTERACTIVE HEATING SHEET,"[60/800,073 12.05.2006 US]",B65D 81/34;B65D 81/38,"GRAPHIC PACKAGING INTERNATIONAL, INC.","WENK, Patrick, H.;COLE, Lorin, R.;MIDDLETON, Scott, W.;ROBISON, Richard, G.",
WO2013149137,04.10.2013,APPARATUS AND METHOD FOR MANAGING USER CHAT EXPERIENCES WITH BUSINESSES,"[US 20120329 13/434,512, US 20130313 13/799,825]",H04L 12/58,GETABL INC.,"BESLIC, Milenko;SLATER, Mark;YOUNG, James",
WO2014063234,02.05.2014,SYSTEM AND METHOD FOR TRACKING CONSUMER HABITS AT A VENUE,"[US 20121023 61/717,277]",G06Q 30/02,FANS ENTERTAINMENT INC.,"FREDETTE, Benoit",
WO2015004452,16.01.2015,METHOD OF OPTIMIZATION FOR AN APPLICATION,[GB 20130709 1312280.9],G06F 9/445;G06Q 30/02,MAXYMISER LTD,"BAILEY, Alasdair John Joseph;SYNYCHENKO, Iurii;OVCHARENKO, Sergii",
WO2014063236,02.05.2014,SYSTEM AND METHOD FOR TRACKING CONSUMPTION HABITS OF VENUE PRODUCTS,"[US 20121023 61/717,263]",G06Q 30/02,FANS ENTERTAINMENT INC.,"FREDETTE, Benoit",
EP1875816,10.01.2008,Beverages with specialized supplements,"[04778170 2004-07-12T23:59:59.000Z EP, 52046603 2003-11-14T23:59:59.000Z US, 53628604 2004-01-13T23:59:59.000Z US, 61667403 2003-07-10T23:59:59.000Z US]",A23L 1/29;A23C 9/13;A23C 9/152;A23L 1/30;A61K 9/00;A61K 31/198;A61K 31/4188;A61K 31/4415;A61K 31/555;A61K 36/10;A61K 38/43;C12C 5/00;C12C 5/02;C12G 1/00;C12G 3/04,FOREST CARL A;MCCLEARY EDWARD LARRY;MCCLEARY CHRISTINE,FOREST CARL A;MCCLEARY EDWARD LARRY;MCCLEARY CHRISTINE,
EP1329056,24.07.2003,User terminal capable of processing geographical location data and method therefor,"[0021067 2000-08-25T23:59:59.000Z GB, 0103853 2001-08-28T23:59:59.000Z GB]",G06F 17/30;G01S 5/02;H04L 29/06;H04L 29/08;H04M 1/725;H04W 4/02,YOGOGO LTD,SPAARGAREN JEROME;HERMELE DANIEL STEPHEN,
US6609104,20.08.2003,Method and system for accumulating marginal discounts and applying an associated incentive,"[09320114 1999-05-26T23:59:59.000Z US, 09405675 1999-09-24T23:59:59.000Z US, 60136130 1999-05-26T23:59:59.000Z US]",G06F 17/60;G06Q 30/00;G06Q 30/00,"Incentech, Inc.","Deaton, David W.;Gabriel, Rodney G.",
US6516302,05.02.2003,Method and system for accumulating marginal discounts and applying an associated incentive upon achieving one of a plurality of thresholds,"[09320114 1999-05-26T23:59:59.000Z US, 09416859 1999-10-12T23:59:59.000Z US, 60136130 1999-05-26T23:59:59.000Z US]",G06F 17/60;G06Q 30/00;G06Q 30/00,"Incentech, Inc.","Deaton, David W.;Gabriel, Rodney G.",
US6611811,27.08.2003,Method and system for accumulating marginal discounts and applying an associated incentive upon achieving threshold,"[09320114 1999-05-26T23:59:59.000Z US, 09411588 1999-10-01T23:59:59.000Z US, 60136130 1999-05-26T23:59:59.000Z US]",G06F 17/60;G06Q 30/00;G06Q 30/00,"Incentech, Inc.","Deaton, David W.;Gabriel, Rodney G.",
USRE044541,16.10.2013,Method and system for accumulating marginal discounts and applying an associated incentive upon achieving threshold,,G06Q 30/00,Deaton David W.;Midnight Blue Remote Access LLC;Gabriel Rodney G.,Deaton David W.;Gabriel Rodney G.,
WO1995003570,03.02.1995,METHOD AND SYSTEM FOR SELECTIVE INCENTIVE POINT-OF-SALE MARKETING IN RESPONSE TO CUSTOMER SHOPPING HISTORIES,"[08/096,921 23.07.1993 US, 08/141,471 20.10.1993 US]",G06Q 30/00;G07F 17/42;G07G 1/00;G07G 1/14,CREDIT VERIFICATION CORPORATION,"DEATON, David, W.;GABRIEL, Rodney, G.",
WO2006037218,14.04.2006,METHOD AND SYSTEM FOR PROVIDING DIRECTORY ASSISTANCE,"[60/614,987 04.10.2004 US, 60/618,991 18.10.2004 US, 60/629,349 22.11.2004 US, 2,499,305 04.03.2005 CA]",H04M 3/493;G10L 15/00,"FREE DA CONNECTION SERVICES INC.;668158 B.C. LTD.;TASCHEREAU, John","TASCHEREAU, John",
WO2013164481,08.11.2013,IMPROVED ENZYME VARIANTS,"[EP 20120503 12166673.9, US 20120503 61/642,095, EP 20121221 12199277.0, EP 20121221 12199178.0, US 20121221 61/745,063]",C12N 9/64;A23C 19/04,DSM IP ASSETS B.V.,"DEKKER, Petrus Jacobus Theodorus;JONG DE, René Marcel;TABELING, Michael Dennis;MUIJLWIJK, Cornelis Marinus",
US6827965,08.12.2004,Food products containing whole chia seed or a gluten-free agglutinant derived therefrom and methods of making same,"[07878668 1992-05-05T23:59:59.000Z US, 08237250 1994-05-04T23:59:59.000Z US, 08523050 1995-09-01T23:59:59.000Z US, 08724761 1996-10-03T23:59:59.000Z US, 09009826 1998-01-20T23:59:59.000Z US, 09022130 2001-12-13T23:59:59.000Z US, 09400722 1999-09-21T23:59:59.000Z US, 09745924 2000-12-23T23:59:59.000Z US]",A23L 1/212;A23L 1/05;A23L 1/00;A23L 1/00;A23L 1/164;A23L 1/164;A23L 1/212;A23L 1/212;A23L 1/36;A23L 1/36,,"Fitzpatrick, Michael",
US20130198358,02.08.2013,"DISTRIBUTIVE ON-DEMAND ADMINISTRATIVE TASKING APPARATUSES, METHODS AND SYSTEMS",,H04L 12/24,"DoDat Process Technology, LLC;DODAT PROCESS TECHNOLOGY, LLC",Taylor Timothy G.,
US20150025922,23.01.2015,"DISTRIBUTIVE ON-DEMAND ADMINISTRATIVE TASKING APPARATUSES, METHODS AND SYSTEMS",,G06Q 10/06;G06Q 50/18;G06Q 30/00;G06Q 50/30;H04L 29/08;G06Q 10/02,"DoDat Process Technology, LLC",Taylor Timothy G.,
US20150026246,23.01.2015,"DISTRIBUTIVE ON-DEMAND ADMINISTRATIVE TASKING APPARATUSES, METHODS AND SYSTEMS",,H04L 29/08;G06Q 20/08,"DoDat Process Technology, LLC",Taylor Timothy G.,
WO2013082198,07.06.2013,HEAT CHAMBER,"[61/564,217 28.11.2011 US]",A21B 1/02;A21B 1/00;A21B 3/00,"HOTPOCKETS, LLC","VARDY, David;CONDON, Dave",
WO1994022323,14.10.1994,MULTI-PHASE SHEETED CHEWING GUM,"[08/044,240 07.04.1993 US]",A23G 4/00;A23G 4/04;B29C 43/30;B32B 37/00,WM. WRIGLEY JR. COMPANY,"McHALE, Michael;NICHTULA, George;CORRIVEAU, Christine, L.;WOKAS, William, J.",
WO2011004144,14.01.2011,FOOD EMULSIONS,[0911700.3 06.07.2009 GB],A23D 7/00;A23L 1/09;A23L 1/48,"CADBURY HOLDINGS LIMITED;ESTEVE, Emilien Louis Joseph;NORTON, Clive","ESTEVE, Emilien Louis Joseph;NORTON, Clive",
WO2007019526,16.02.2007,COMPOSITIONS AND METHODS FOR CONTROLLING GLUCOSE AND LIPID UPTAKE FROM FOODS,"[60/705,961 05.08.2005 US]",A61K 36/82,"NATUREGEN, INC.;ZHONG, Litao","ZHONG, Litao",
WO1999011078,05.03.1999,GEOGRAPHICAL DATABASE FOR RADIO SYSTEM,"[08/918,546 22.08.1997 US]",H04L 29/08;H04W 4/02;H04W 60/00,TELEFONAKTIEBOLAGET LM ERICSSON (publ),"BROHOFF, Håkan",
WO2008131365,31.10.2008,COMMUNICATION SYSTEM FOR SPEECH DISABLED INDIVIDUALS,"[60/907,857 19.04.2007 US]",H04M 3/00,"O'BRIEN TECHNOLOGIES, INC.;O'BRIEN, Daniel, C.;BUCHHOLZ, Ed","O'BRIEN, Daniel, C.;BUCHHOLZ, Ed",
WO2009123887,09.10.2009,TUCK AND STORE RACK,"[12/061,733 03.04.2008 US]",F24C 15/16,"ELECTROLUX HOME PRODUCTS, INC.;MARTIN, Robert, Henry;HUGHES, James;SHADWICK, David;AYERS, James, Lewis","MARTIN, Robert, Henry;HUGHES, James;SHADWICK, David;AYERS, James, Lewis",
WO2008097389,15.08.2008,USE OF PREVIOUSLY-CALCULATED POSITION FIX FOR LOCATION-BASED QUERY,"[11/704,166 08.02.2007 US]",G01C 21/20;H04W 4/02,"PALM, INC.;KANSAL, Sachin;PAULSON, Janell","KANSAL, Sachin;PAULSON, Janell",
WO2006130463,08.12.2006,SCORING LOCAL SEARCH RESULTS BASED ON LOCATION PROMINENCE,"[11/138,670 27.05.2005 US]",G06F 17/30,"GOOGLE INC.;O'CLAIR, Brian;EGNOR, Daniel;GREENFIELD, Lawrence Elias","O'CLAIR, Brian;EGNOR, Daniel;GREENFIELD, Lawrence Elias",
WO2007021665,23.02.2007,"DEVELOPED DOUGH PRODUCT IN MODERATELY-PRESSURIZED PACKAGE, AND RELATED METHODS","[60/707,808 11.08.2005 US]",A21D 10/02;B65B 25/00;B65D 85/36,"GENERAL MILLS MARKETING, INC.;DOMINGUES, David J.;KIRK, David A.","DOMINGUES, David J.;KIRK, David A.",
WO2007103428,14.09.2007,SUSCEPTOR WITH APERTURED SUPPORT,"[60/780,699 09.03.2006 US]",B65D 81/34,"GRAPHIC PACKAGING INTERNATIONAL, INC.","KEEFE, Daniel J.;LAI, Laurence M.C.",
WO2006063591,23.06.2006,A METHOD FOR CONTROLLING TEMPERATURE IN A REFRIGERATION SYSTEM,[PA 2004 01949 16.12.2004 DK],F25D 29/00;F25D 21/00,"DANFOSS A/S;THYBO, Claus;PLOUG, Ole","THYBO, Claus;PLOUG, Ole",
WO2006076236,21.07.2006,LOCATION BASED ADVERTISING,"[11/032,835 10.01.2005 US]",G06Q 30/00,"THE WATSO LIMITED PARTNERSHIP;GLEASON, David, Martin","GLEASON, David, Martin",
WO1999044165,03.09.1999,ELECTRONIC COMMERCE METHODS AND APPARATUS,"[60/075,872 25.02.1998 US, 09/256,540 24.02.1999 US]",G06Q 20/00;G06Q 30/00;G07F 7/02;H04M 17/00,E-LYSIUM TRANSACTION SYSTEMS INC.,"BASER, Caroline;GOROSTIS, Oliver",
WO1997010562,21.03.1997,PROGRAMMING INTERFACE FOR A SMART CARD KIOSK,"[08/528,304 14.09.1995 US]",G06F 9/445;G06Q 20/00;G07F 17/16;G07F 7/00;G07F 7/08,"CYBERMARK, L.L.C.","RENNER, G., Fred;McCAULEY, Lisa, Anne",
WO1999021444,07.05.1999,REHEATABLE FOOD PRODUCT,[9722794.6 29.10.1997 GB],A23L 1/00;A23L 1/217,DANISCO A/S,"KOOLS, Johannes, Marines, Quirines",
WO2003015406,21.02.2003,ENHANCED CUSTOM CONTENT MULTI MEDIA TELEVISION,"[09/924,669 08.08.2001 US]",H04N 5/00;H04N 5/44;H04N 5/445;H04N 7/088;H04N 7/24,ACCENTURE GLOBAL SERVICES GMBH,"DEMPSKI, Kelly, L.;HORNER, Ryan, C.;FOHL, Dax, A.",
WO2005070135,05.08.2005,METHOD FOR MAKING A DUAL-TEXTURED FOOD SUBSTRATE HAVING LARGE SEASONING BITS,"[10/755,577 12.01.2004 US]",A23L 1/00;A23L 1/164;A23L 1/217,"FRITO-LAY NORTH AMERICA, INC.;HEYWOOD, Adrianna, Ashley;KING, Michael, K.;SMITH, Richard, Todd;LONGO, Heather, Ann","HEYWOOD, Adrianna, Ashley;KING, Michael, K.;SMITH, Richard, Todd;LONGO, Heather, Ann",
WO2005022303,11.03.2005,SYSTEM AND METHOD FOR SITE-SPECIFIC ELECTRONIC RECORDKEEPING,"[60/495,665 15.08.2003 US, 10/688,528 21.10.2003 US]",G06F 19/00,"SCORING SYSTEMS, INC.;KANITZ, William, A.;OLSON, Lawrence, E.","KANITZ, William, A.;OLSON, Lawrence, E.",
WO1999003128,22.01.1999,SINGULATION SYSTEM FOR CHIP-SCALE PACKAGES,"[60/051,985 09.07.1997 US, 60/073,944 06.02.1998 US]",H01L 21/00;H05K 3/00,"SYSTEMATION ENGINEERED PRODUCTS, INC.;KOERPER, Phillip, E.;BEHNKE, Merlin, E.;CHANASYK, Albert, J.","KOERPER, Phillip, E.;BEHNKE, Merlin, E.;CHANASYK, Albert, J.",
WO2000029969,26.05.2000,METHOD AND APPARATUS FOR PROCESSING CLIENT INFORMATION,"[09/192,806 16.11.1998 US]",G06Q 30/00,"SUN MICROSYSTEMS, INC.","GUPTA, Amit;VENKATARAMAN, Sriraman;BAEHR, Geoffrey",
WO2010049925,07.05.2010,METHOD AND SYSTEM FOR GUIDING A USER TO A SPECIFIED LANDMARK,[61/109335 29.10.2008 US],H04M 3/487;G01C 21/34;H04M 3/42,"SOBOVITZ, Nathan;TAL-BOTZER, Ronen","SOBOVITZ, Nathan;TAL-BOTZER, Ronen",
WO2007067217,15.06.2007,IN-ROOM GAMING,"[60/741,652 02.12.2005 US]",A63F 9/24,"CYBERSCAN TECHNOLOGY, INC.;GATTO, Jean-Marie;BRUNET DE COURSSOU, Thierry","GATTO, Jean-Marie;BRUNET DE COURSSOU, Thierry",
WO2007077545,13.07.2007,METHODS FOR REDUCING ASPARAGINE IN A DOUGH FOOD COMPONENT,"[60/756,509 05.01.2006 US]",A21D 8/04;A23L 1/015;A23L 1/03;A23L 1/164;A23L 1/217;A23L 1/216;A23L 1/168;A23L 1/18,"THE PROCTER & GAMBLE COMPANY;CORRIGAN, Patrick, Joseph","CORRIGAN, Patrick, Joseph",
WO2008035313,28.03.2008,FLAVOR APPLICATION ON EDIBLE SUBSTRATES,"[60/846,575 22.09.2006 US]",A23L 1/00;A23L 1/164;A23L 1/217;A21D 13/00,"THE PROCTER & GAMBLE COMPANY;WEN, LuFang;HENRY, William, John, Jr.;SWAINE, Robert, Leslie","WEN, LuFang;HENRY, William, John, Jr.;SWAINE, Robert, Leslie",
WO2011141386,18.11.2011,ANONYMIZING GATEWAY,"[US 20100510 12/776,910]",H04L 29/06;H04L 29/08;H04W 12/02,"NOKIA SIEMENS NETWORKS OY;MANZANARES SANCHO, Carlos;BOTTIGLIERI, Caio;CORDOVA, Irving, Benjamin;GARLIKOWSKI, Konrad;HARSWANTO, Mikhael;SAMPLE, Duncan","MANZANARES SANCHO, Carlos;BOTTIGLIERI, Caio;CORDOVA, Irving, Benjamin;GARLIKOWSKI, Konrad;HARSWANTO, Mikhael;SAMPLE, Duncan",
WO2014179889,14.11.2014,A SYSTEM AND METHOD FOR PROVIDING ORGANIZED SEARCH RESULTS ON A NETWORK,"[US 20130510 61/821,848]",G06F 17/30;H04L 12/16,ARVOSSA INC.,"KERGIN, Christopher, William;GILL, Paramjit, S.;TAM, Chung, Ming",
WO2011086405,22.07.2011,SIP INTERFACE FOR MEDIA RECORDING VIA INAP,,H04L 29/06;H04Q 3/00,"ALCATEL LUCENT;BALAJI, Jayakumar;GOPALASUBRAMANIAN, Balasubramanian;MAHALAKSHMI, Nainar","BALAJI, Jayakumar;GOPALASUBRAMANIAN, Balasubramanian;MAHALAKSHMI, Nainar",
WO2010144732,17.12.2010,TOUCH ANYWHERE TO SPEAK,"[US 20090610 12/482,429]",G06F 3/01;G06F 3/041;G06F 3/14;G06F 3/16,MICROSOFT CORPORATION,"SULLIVAN, Anne K.;STIFELMAN, Lisa;LEE, Kathleen J.;LEONG, Su Chuin",
WO2014172585,24.10.2014,METHOD AND SYSTEM FOR DIRECT ADDITIVE MANUFACTURING FROM AN ADVERTISEMENT,"[US 20130418 61/813,611, US 20130913 14/027,035]",G06Q 30/02;G06Q 30/06;G06Q 50/04,"BLACKNIGHT HOLDINGS, LLC","WALSH, Ryan;FALESCH, Alex",
WO2008019278,15.02.2008,CANNED DOUGH PRODUCT HAVING INGREDIENT POUCH,"[US 20060804 60/835,523]",B65D 81/32,"GENERAL MILLS MARKETING, INC.;NORQUIST, Penny L.;TRAN, Cam B.;THURBUSH, Claire","NORQUIST, Penny L.;TRAN, Cam B.;THURBUSH, Claire",
WO2013185797,20.12.2013,SECURITY MONITORING FOR OPTICAL NETWORK,,H04B 10/07;H04Q 11/00;H04J 14/02,"TELEFONAKTIEBOLAGET L M ERICSSON (PUBL);COSTANTINI, Matteo;MAGRI, Roberto","COSTANTINI, Matteo;MAGRI, Roberto",
WO2014011798,17.01.2014,SYSTEMS AND METHODS FOR SELECTING AND DISPLAYING INTERACTIVE ADVERTISING CONTENT WITH A LOCK SCREEN,"[US 20120710 13/545,781]",G06Q 30/02;G06F 3/048,"RICASATA, Richard","RICASATA, Richard",
WO2014032047,28.02.2014,ORDERING AHEAD WITH A MOBILE DEVICE,"[US 20120824 13/594,771]",G06Q 30/06;G06Q 50/12,GOOGLE INC.,"KIM, Robert;REDDY, Ray",
EP0540421,06.05.1993,Indigestible dextrin.,[31184691 1991-10-29T23:59:59.000Z JP],A23C 9/13;A23C 9/13;A23G 3/00;A23C 11/10;A23G 9/02;A23C 13/16;A23L 1/09;A23C 19/05;A23L 1/24;A23C 19/086;A23L 1/308;A23F 3/16;A23L 1/31;A23G 3/34;A23L 1/325;A23G 9/52;A23L 2/26;A23K 1/16;C08B 30/18;A23L 1/09;C12P 19/14;A23L 1/24;A23L 1/308;A23L 1/314;A23L 1/317;A23L 1/325;A23L 1/39;A23L 2/52;C08B 30/18;C12P 19/14;C12P 19/20,MATSUTANI KAGAKU KOGYO KK,HANNO YOSHIO;INADA KAZUYUKI;KATTA YASUO;MATSUDA ISAO;OHKUMA KAZUHIRO,
EP0530111,04.03.1993,Indigestible dextrin,"[21362792 1992-07-17T23:59:59.000Z JP, 24458791 1991-08-28T23:59:59.000Z JP]",A23L 1/308;C08B 30/18;A23L 1/308;A23L 1/09;A21D 2/18;A23L 1/24;A23C 9/137;A23L 1/39;A23C 9/154;A23L 1/325;A23C 11/10;A23L 1/31;A23C 19/076;A23C 9/13;A23C 19/086;A23G 3/00;A23F 3/16;A23G 9/02;A23G 3/34;A21D 2/18;A23G 9/52;A61K 31/715;A23L 1/064;A23L 1/068;A23L 1/09;A23L 1/16;A23L 1/187;A23L 1/20;A23L 1/24;A23L 1/314;A23L 1/32;A23L 1/325;A23L 1/38;A23L 1/39;A23L 2/52;A61K 31/715;A61P 1/12;C08B 30/18,MATSUTANI KAGAKU KOGYO KK,OHKUMA KAZUHIRO;MATSUDA ISAO;NOGAMI YOSHIKI,
EP0538146,22.04.1993,Indigestible dextrin.,[29802791 1991-10-17T23:59:59.000Z JP],A23C 9/13;A23L 1/308;A23G 3/00;A21D 2/18;A23G 9/02;A21D 13/00;A23L 1/09;A23C 9/137;A23L 1/24;A23F 3/16;A23L 1/308;A23G 1/00;A23L 1/31;A23G 1/56;A23L 1/325;A23G 3/34;A23L 1/39;A23K 1/16;A23L 2/26;A23L 1/064;C08B 30/18;A23L 1/068;A23L 1/09;A23L 1/16;A23L 1/164;A23L 1/187;A23L 1/20;A23L 1/314;A23L 1/32;A23L 1/326;A23L 1/38;C08B 30/18,MATSUTANI KAGAKU KOGYO KK,OHKUMA KAZUHIRO;HANNO YOSHIO;INADA KAZUYUKI;MATSUDA ISAO;KATTA YASUO,
CA2773323,18.03.2011,MULTIFUNCTION MULTIMEDIA DEVICE,"[12/631,740 2009-12-04T23:59:59.000Z US, 12/631,751 2009-12-04T23:59:59.000Z US, 12/631,759 2009-12-04T23:59:59.000Z US, 12/631,762 2009-12-04T23:59:59.000Z US, 61/242,277 2009-09-14T23:59:59.000Z US]",H04N 21/4788;H04N 21/45;H04L 12/16,TIVO INC.,"BARTON, JAMES;LANIER, BRIAN;GHARAAT, AMIR H.;CHENG, JAMES",
CA2773558,18.03.2011,MULTIFUNCTION MULTIMEDIA DEVICE,"[12/631,765 2009-12-04T23:59:59.000Z US, 12/631,770 2009-12-04T23:59:59.000Z US, 12/631,775 2009-12-04T23:59:59.000Z US, 12/631,778 2009-12-04T23:59:59.000Z US, 12/631,781 2009-12-04T23:59:59.000Z US, 12/631,782 2009-12-04T23:59:59.000Z US, 12/631,783 2009-12-04T23:59:59.000Z US, 61/242,277 2009-09-14T23:59:59.000Z US]",H04N 21/462;H04N 21/2665;H04N 21/4147;H04N 21/43;H04N 21/454,TIVO INC.,"GHARAAT, AMIR H.;BARTON, JAMES;PATEL, MUKESH K.",
CA2452836,07.02.2003,"MENINGOCOCCUS ADHESINS NADA, APP AND ORF 40","[0118401.9 2001-07-27T23:59:59.000Z GB, 0121591.2 2001-09-06T23:59:59.000Z GB, 0211025.2 2002-05-14T23:59:59.000Z GB]",C07K 14/22;A61K 39/095;A61K 39/00,CHIRON S.R.L.,"ARICO, MARIA;COMANDUCCI, MAURIZIO",
EP2248822,11.11.2010,Meningococcus adhesins,"[02790218 2002-07-26T23:59:59.000Z EP, 0118401 2001-07-27T23:59:59.000Z GB, 0121591 2001-09-06T23:59:59.000Z GB, 0211025 2002-05-14T23:59:59.000Z GB]",C07K 14/22;C12N 15/09;A61K 38/16;A61K 39/00;A61K 39/095;A61P 31/04;C12N 1/21;C12N 15/62;C12P 21/00;C12Q 1/02;C12R 1/36,,,
